molecule;code ;sites;traitement;echan;replicat;do
tanin;3OT2;3O;T;2;1;0,146699995
tanin;3OT2;3O;T;2;2;0,133000001
tanin;3OT2;3O;T;2;3;0,129199997
tanin;3OT3;3O;T;3;1;0,139699996
tanin;3OT3;3O;T;3;2;0,131500006
tanin;3OT3;3O;T;3;3;0,118000001
tanin;3OT4;3O;T;4;1;0,189700007
tanin;3OT4;3O;T;4;2;0,188199997
tanin;3OT4;3O;T;4;3;0,172499999
tanin;3OT5;3O;T;5;1;0,153200001
tanin;3OT5;3O;T;5;2;0,1417
tanin;3OT5;3O;T;5;3;0,127299994
tanin;FUT1;FU;T;1;1;0,113700002
tanin;FUT1;FU;T;1;2;0,109399997
tanin;FUT1;FU;T;1;3;0,111900002
tanin;FUT2;FU;T;2;1;0,111900002
tanin;FUT2;FU;T;2;2;0,098800004
tanin;FUT2;FU;T;2;3;0,188999996
tanin;FUT3;FU;T;3;1;0,113399997
tanin;FUT3;FU;T;3;2;0,119499996
tanin;FUT3;FU;T;3;3;0,122000001
tanin;FUT4;FU;T;4;1;0,104900002
tanin;FUT4;FU;T;4;2;0,098999999
tanin;FUT4;FU;T;4;3;0,107199997
tanin;FUT5;FU;T;5;1;0,100000001
tanin;FUT5;FU;T;5;2;0,098499998
tanin;FUT5;FU;T;5;3;0,098899998
tanin;FUT6;FU;T;6;1;0,128900006
tanin;FUT6;FU;T;6;2;0,132499993
tanin;FUT6;FU;T;6;3;0,131699994
tanin;FUH1;FU;H;1;1;0,1008
tanin;FUH1;FU;H;1;2;0,108499996
tanin;FUH1;FU;H;1;3;0,102300003
tanin;FUH2;FU;H;2;1;0,142499998
tanin;FUH2;FU;H;2;2;0,114
tanin;FUH2;FU;H;2;3;0,1153
tanin;FUH3;FU;H;3;1;0,096100003
tanin;FUH3;FU;H;3;2;0,097900003
tanin;FUH3;FU;H;3;3;0,089100003
tanin;FUH4;FU;H;4;1;0,123400003
tanin;FUH4;FU;H;4;2;0,124899998
tanin;FUH4;FU;H;4;3;0,129299998
tanin;FUH5;FU;H;5;1;0,092100002
tanin;FUH5;FU;H;5;2;0,096199997
tanin;FUH5;FU;H;5;3;0,0876
tanin;FHT1;FH;T;1;1;0,093199998
tanin;FHT1;FH;T;1;2;0,099799998
tanin;FHT1;FH;T;1;3;0,1008
tanin;FHT2;FH;T;2;1;0,104400001
tanin;FHT2;FH;T;2;2;0,113399997
tanin;FHT2;FH;T;2;3;0,104500003
tanin;FHT4;FH;T;4;1;0,107000001
tanin;FHT4;FH;T;4;2;0,102600001
tanin;FHT4;FH;T;4;3;0,110600002
tanin;FHH1;FH;H;1;1;0,154899999
tanin;FHH1;FH;H;1;2;0,161699995
tanin;FHH1;FH;H;1;3;0,162699997
tanin;FHH2;FH;H;2;1;0,123499997
tanin;FHH2;FH;H;2;2;0,149299994
tanin;FHH2;FH;H;2;3;0,147400007
tanin;FHH3;FH;H;3;1;0,136099994
tanin;FHH3;FH;H;3;2;0,143199995
tanin;FHH3;FH;H;3;3;0,158899993
tanin;FHH4;FH;H;4;1;0,1303
tanin;FHH4;FH;H;4;2;0,138899997
tanin;FHH4;FH;H;4;3;0,161599994
tanin;FHH5;FH;H;5;1;0,101599999
tanin;FHH5;FH;H;5;2;0,106200002
tanin;FHH5;FH;H;5;3;0,114399999
tanin;XCT1;XC;T;1;1;0,126900002
tanin;XCT1;XC;T;1;2;0,128399998
tanin;XCT1;XC;T;1;3;0,129899994
tanin;XCT2;XC;T;2;1;0,090599999
tanin;XCT2;XC;T;2;2;0,087200001
tanin;XCT2;XC;T;2;3;0,085199997
tanin;XCT3;XC;T;3;1;0,109899998
tanin;XCT3;XC;T;3;2;0,112599999
tanin;XCT3;XC;T;3;3;0,119800001
tanin;XCT4;XC;T;4;1;0,117299996
tanin;XCT4;XC;T;4;2;0,109999999
tanin;XCT4;XC;T;4;3;0,1052
tanin;XCT5;XC;T;5;1;0,126900002
tanin;XCT5;XC;T;5;2;0,123400003
tanin;XCT5;XC;T;5;3;0,125400007
tanin;XCH1;XC;H;1;1;0,154799998
tanin;XCH1;XC;H;1;2;0,179000005
tanin;XCH1;XC;H;1;3;0,166700006
tanin;XCH2;XC;H;2;1;0,120200001
tanin;XCH2;XC;H;2;2;0,1347
tanin;XCH2;XC;H;2;3;0,150600001
tanin;XCH3;XC;H;3;1;0,133599997
tanin;XCH3;XC;H;3;2;0,137600005
tanin;XCH3;XC;H;3;3;0,140000001
tanin;blanc;NA;NA;NA;1;0,051899999
tanin;blanc;NA;NA;NA;2;0,056299999
tanin;blanc;NA;NA;NA;3;0,0579
phenols;etalon;NA;NA;0;NA;0,063900001
phenols;etalon;NA;NA;1;NA;0,083800003
phenols;etalon;NA;NA;2;NA;0,107900001
phenols;etalon;NA;NA;4;NA;0,154799998
phenols;etalon;NA;NA;8;NA;0,270599991
phenols;etalon;NA;NA;12;NA;0,328999996
phenols;etalon;NA;NA;15;NA;0,430000007
phenols;etalon;NA;NA;20;NA;0,539099991
phenols;FBH1;FB;H;1;1;3,271100044
phenols;FBH1;FB;H;1;2;3,122999907
phenols;FBH1;FB;H;1;3;3,123399973
phenols;FBH2;FB;H;2;1;3,140500069
phenols;FBH2;FB;H;2;2;3,305700064
phenols;FBH2;FB;H;2;3;3,322999954
phenols;FBH3;FB;H;3;1;3,09100008
phenols;FBH3;FB;H;3;2;3,180099964
phenols;FBH3;FB;H;3;3;3,15079999
phenols;FBH4;FB;H;4;1;2,307300091
phenols;FBH4;FB;H;4;2;1,934999943
phenols;FBH4;FB;H;4;3;2,116300106
phenols;FBH5;FB;H;5;1;2,821500063
phenols;FBH5;FB;H;5;2;2,392999887
phenols;FBH5;FB;H;5;3;2,762799978
phenols;FBT1;FB;T;1;1;3,325400114
